Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
247;"#2E DUNKELBRAUNE US WELLIGE  BONDINGS 85CM ♡";150;6;405;0;6
248;"INVISIBLE TRESSEN #SHINY RU GLATT";150;3;585;0;3
249;"#2A PONYTAIL 130G - 65CM › 130 g";130;1;200;1;0
250;"#3A PONYTAIL 130G - 65CM › 130 g";130;1;200;1;0
251;"#1A PONYTAIL 130G - 65CM › 130 g";130;1;200;1;0
252;"#5P18A PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
253;"#VIKING BLOND PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
254;"#NORVEGIAN PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
255;"#5A PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
256;"#4A PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
257;"#4 SAMTBRAUNE 45CM TAPE EXTENSIONS ♡";125;5;224;1;4
258;"#2A ASCHBRAUNE US WELLIGE  45CM TAPE EXTENSIONS ♡";125;5;210;3;2
259;"#CAPPUCCINO RUSSISCHE BONDINGS GLATT 1G";125;5;348;4;1
260;"#TAUPE RUSSISCHE BONDINGS GLATT 1G";125;5;348;3;2
261;"#14A DUNKELBLONDE 55CM TAPE EXTENSIONS 55CM ♡";125;5;227;4;1
262;"#VIKING BLOND US WELLIGE TAPE 85CM ♡";125;5;338;4;1
263;"#SNOWY RUSSISCHE BONDINGS GLATT 1G";125;5;363;0;5
264;"#BITTER CACAO RUSSISCHE BONDINGS GLATT 1G";125;5;363;0;5
265;"#3T8A US WELLIGE TAPE EXTENSIONS 85CM ♡";125;5;338;0;5
266;"#BITTER CACAO - INVISIBLE CLIP EXTENSIONS- DUNKELBRAUN ♡ › 100g";100;1;159;1;0
267;"#2E DUNKELBRAUNE 45CM TAPE EXTENSIONS  ♡";100;4;170;4;0
268;"#3T8A 45CM TAPE EXTENSIONS  ♡";100;4;161;4;0
269;"#6A REHBRAUN US WELLIGE GENIUS TRESSEN ECHTHAAR EXTENSIONS 65CM ♡";100;2;198;2;0
270;"#8 GOLDKUPFER US WELLIGE TAPE EXTENSIONS 55CM ♡";100;4;170;4;0
271;"#FROSTY GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;371;1;1
272;"#6 HASELNUSSBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";100;4;184;1;3
273;"TRESSEN #CAPPUCCINO DUNKELBLOND ASCH RU GLATT CLASSIC WEFT ♡";100;2;261;2;0
274;"TRESSEN #DIRTY BLOND DUNKELBLOND GOLD RU GLATT CLASSIC WEFT ♡";100;2;261;2;0
275;"#TOFFEE GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;351;2;0
276;"#14A DUNKELBLONDE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";100;2;198;2;0
277;"TRESSEN #FAWN HELLBRAUN RU GLATT CLASSIC WEFT ♡";100;2;261;2;0
278;"INVISIBLE TRESSEN #MOCHA MELT RU GLATT";100;2;351;2;0
279;"#24A SANDBLOND US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";100;2;209;2;0
280;"#DESERT STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";100;4;276;3;1
281;"#8 GOLDKUPFER 45CM TAPE EXTENSIONS ♡";100;4;170;4;0
282;"#PLATIN - INVISIBLE CLIP EXTENSIONS - LIGHTBLOND ♡ › 100g";100;1;143;1;0
283;"#FROSTY - INVISIBLE CLIP EXTENSIONS - GESTRÄHNTES MITTELBRAUN PEARL UND LICHTBLOND ASCH ♡ › 100g";100;1;143;1;0
284;"#14A DUNKELBLONDE 45CM TAPE EXTENSIONS  ♡";100;4;161;4;0
285;"#EBONY - INVISIBLE CLIP EXTENSIONS - TIEFSCHWARZ ♡ › 100g";100;1;159;1;0
286;"#SILVER  US WELLIGE TAPE 85CM ♡";100;4;270;4;0
287;"#PLATIN MINI TAPE EXTENSIONS INVISIBLE RU GLATT";100;2;390;2;0
288;"#60 PLATIN US WELLIGE BONDINGS 85CM ♡";100;4;304;2;2
289;"#MOCHA MELT US WELLIGE TAPE 85CM ♡";100;4;270;0;4
290;"#NATURAL/GREY GRAU OMBRÉ  US WELLIGE TAPE EXTENSIONS 65CM ♡";100;4;199;0;4
291;"#14A DUNKELBLONDE US WELLIGE  BONDINGS 85CM";100;4;270;0;4
292;"#VANILLA MOCHA GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;390;0;2
293;"INVISIBLE TRESSEN #FAWN RU GLATT";100;2;390;0;2
294;"INVISIBLE TRESSEN #BITTER CACAO RU GLATT";100;2;390;0;2
295;"#BEACH BLOND MINI TAPE EXTENSIONS RU GLATT ♡";100;2;290;0;2
296;"#SOFT-BLOND-BALAYAGE US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM";100;2;199;0;2
297;"#SUN-KISSED RUSSISCHE BONDINGS GLATT 1G";100;4;290;0;4
298;"#HONEY GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;390;0;2
299;"#SMOKY BROWN - INVISIBLE CLIP EXTENSIONS ♡ › 100g";100;1;159;0;1
300;"#99J DUNKEL KIRSCHE US WELLIGE KERATIN  BONDINGS  DUNKLE KIRSCHE 65CM ♡";75;3;134;3;0
301;"#FAWN RUSSISCHE BONDINGS GLATT 1G";75;3;203;2;1
302;"#2A ASCHBRAUN US WELLIGE  BONDINGS 85CM ♡";75;3;189;2;1
303;"#24A SANDBLOND US WELLIGE KERATIN BONDINGS SANDBLOND 65CM ♡";75;3;149;2;1
304;"#MACADAMIA GLOW RUSSISCHE BONDINGS GLATT 1G";75;3;218;0;3
305;"#3A DUNKELBLOND US WELLIGE TAPE 85CM ♡";75;3;203;0;3
306;"#2T14A US WELLIGE  BONDINGS 85CM ♡";75;3;182;3;0
307;"#2T18A TAPE 45CM EXTENSIONS ♡";75;3;121;3;0
308;"#14A DUNKELBLONDE US WELLIGE  TAPE EXTENSIONS 65CM ♡";75;3;134;3;0
309;"#NATURAL/GREY US WELLIGE KERATIN BONDINGS GRAU OMBRÉ 65CM ♡";75;3;134;3;0
310;"#10 HONIGBLONDE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;1;0
311;"#14A  DUNKELBLONDE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;1;0
312;"#RAW GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;1;0
313;"#NORVEGIAN GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
314;"#COLDNESS GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
315;"#CHAMPAGNE MINI TAPE EXTENSIONS RU GLATT ♡";50;1;131;1;0
316;"INVISIBLE TRESSEN #DUBAI RU GLATT";50;1;176;1;0
317;"#FAWN GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
318;"#27 GOLDBLOND US WELLIGE TRESSE ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";50;1;99;1;0
319;"#DIRTY BLOND GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
320;"#8 KUPFERBRAUNE US WELLIGE KERATIN BONDINGS GOLDKUPFER 65CM ♡";50;2;90;2;0
321;"INVISIBLE TRESSEN #COLDNESS RU GLATT";50;1;195;1;0
322;"#BERRY VELVET STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";50;2;145;2;0
323;"#2T14A US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM ♡";50;1;100;1;0
324;"INVISIBLE TRESSEN #DESERT RU GLATT";50;1;195;1;0
325;"#5P18A US WELLIGE TAPE 85CM ♡";50;2;135;2;0
326;"#SHINY GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;1;0
327;"#LILA US WELLIGE TAPE EXTENSIONS 65CM ♡";50;2;100;2;0
328;"#GRÜN US WELLIGE TAPE EXTENSIONS 65CM ♡";50;2;100;2;0
329;"#27 GOLDBLONDE 45CM TAPE EXTENSIONS  ♡";50;2;90;1;1
330;"#ASH MELT GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;1;0
331;"#2A ASCHBRAUNE US WELLIGE TAPE 85CM ♡";50;2;135;0;2
332;"#MOCHA MELT BRAUN BALAYAGE  45CM TAPE EXTENSIONS ♡";50;2;90;0;2
333;"#6 HASELNUSSBRAUNE US WELLIGE BONDINGS 65CM  HASELNUSSBRAUN ♡";50;2;100;0;2
334;"INVISIBLE TRESSEN #BUTTERSCOTCH RU GLATT";50;1;195;0;1
335;"TRESSEN #TAUPE MITTELBLOND ASCH RU GLATT CLASSIC WEFT ♡";50;1;145;0;1
336;"#MOCHAMELT US WELLIGE  BONDINGS 85CM ♡";50;2;135;0;2
337;"#5A MITTELASCHBRAUN US WELLIGE KERATIN BONDINGS SCHWARZE 85CM ♡";50;2;135;0;2
338;"INVISIBLE TRESSEN #FROSTY RU GLATT";50;1;195;0;1
339;"#3A MITTELASCHBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;0;1
340;"#2T18A OMBRÉ KÜHLES BLOND  US WELLIGE TAPE EXTENSIONS 55CM ♡";50;2;95;0;2
341;"#TOFFEE RUSSISCHE BONDINGS GLATT 1G";50;2;145;0;2
342;"#RAW MINI TAPE EXTENSIONS RU GLATT - SCHWARZBRAUN ♡";50;1;145;0;1
343;"#3A KÜHLES MITTELBRAUN US WELLIGE  BONDINGS 85CM ♡";50;2;135;0;2
344;"#DUBAI GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;0;1
345;"#COLDNESS RUSSISCHE BONDINGS GLATT 1G";50;2;145;0;2
346;"#MACADAMIA GLOW MINI TAPE EXTENSIONS";50;1;145;0;1
347;"#2 SCHOKOLADENBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;0;1
348;"INVISIBLE TRESSEN #EBONY RU GLATT";50;1;195;0;1
349;"INVISIBLE TRESSEN #AUTUMN RU GLATT";50;1;195;0;1
350;"#27 GOLDBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";25;1;50;1;0
351;"#BERGEN BLOND US WELLIGE TAPE 85CM ♡";25;1;68;1;0
352;"#10 HONIGBLONDE 45CM TAPE EXTENSIONS ♡";25;1;45;0;1
353;"#PEARL WHITE US WELLIGE TAPE 85CM ♡";25;1;78;0;1
354;"#5T18A US WELLIGE TAPE 85CM ♡";25;1;68;0;1
355;"#5M/SILVER US WELLIGE KERATIN BONDINGS HONIGBLOND 65CM ♡";25;1;50;0;1
Z1;"YOUR FAVORITE REMOVER!";0;76;929;;
Z2;"KLEBER FÜR TAPE EXTENSIONS";0;43;803;;
Z3;"Pflegeset – Mehr Pflege für weniger Geld!";0;32;1302;;
Z4;"HAIRVENLY MINI-EXTENSIONS-BÜRSTE – DEIN MUST-HAVE FÜR UNTERWEGS!";0;31;295;;
Z5;"HYDRATING CONDITIONER";0;27;332;;
Z6;"HAIRBOOST SHAMPOO";0;21;244;;
Z7;"🤍 HAIRVENLY EXTENSIONS BÜRSTE - ANTI FRIZZY IN SEKUNDEN";0;20;263;;
Z8;"LACE FRONT TAPE-KLEBER 2,7M – FÜR EXTRA STARKEN HALT!";0;18;205;;
Z9;"KLEBER FÜR TAPE EXTENSIONS 2,7 METER";0;16;246;;
Z10;"GLYNT TRIJUVEN Smoothing Water -  Makellose Extensions in 10 Sekunden";0;16;225;;
Z11;"NO YELLOW SHAMPOO (Silber Shampoo)";0;10;108;;
Z12;"HAIRFOOD HAARMASKE";0;7;106;;
Z13;"RICHNESS TREATMENT MIT ARGANÖL";0;7;75;;
Z14;"Für besondere Menschen – Geschenkgutschein für Beauty, Haar & Wohlfühlen";0;6;1190;;
Z15;"EXTENSIONS THERMOBÜRSTE 38MM";0;5;183;;
Z16;"ELEKTRONISCHER TAPE-ENTFERNER";0;4;188;;
Z17;"Bürsten-Set für Extensions";0;4;158;;
Z18;"LACE-FRONT TAPEKLEBER FÜR EXTENSIONS 32 METER";0;3;174;;
Z19;"ECHTHAAR FARBRING USBEKISCH";0;3;193;;
Z20;"MORFOSE ARGANÖL";0;3;40;;
Z21;"MORFOSE BIOTIN";0;2;49;;
Z22;"Glynt Farbmaske";0;1;22;;
Z23;"Bondings Abteilklammer – Für ultra-schnelles & präzises Arbeiten";0;1;11;;
Z24;"TAPEKLEBER FÜR EXTENSIONS 32 METER";0;1;46;;
Z25;"Hairvenly Stielkamm – Präzision, Kontrolle & Profi-Qualität";0;1;7;;
