Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
61;"INVISIBLE TRESSEN #COOL TONED RU GLATT";250;5;975;0;5
62;"#SNOWY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";250;10;725;0;10
63;"#BUTTER CREAM STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";250;10;725;0;10
64;"#BUTTER CREAM RUSSISCHE BONDINGS GLATT 1G";225;9;638;6;3
65;"#GLOW - INVISIBLE CLIP EXTENSIONS - HELLBRAUN GOLD ♡ › 225g";225;1;330;1;0
66;"#RAW - INVISIBLE CLIP EXTENSIONS  - SCHWARZBRAUN ♡ › 225g";225;1;330;1;0
67;"#BUTTER CREAM - INVISIBLE CLIP EXTENSIONS ♡ › 225g";225;1;330;1;0
68;"#EBONY - INVISIBLE CLIP EXTENSIONS - TIEFSCHWARZ ♡ › 225g";225;1;330;0;1
69;"#SMOKY BROWN - INVISIBLE CLIP EXTENSIONS ♡ › 225g";225;1;330;0;1
70;"#CARAMEL FUDGE - INVISIBLE CLIP EXTENSIONS -  BALAYAGE MITTELBRAUN MIT HELLBLOND ASCH ALS HIGHLIGHTS ♡ › 225g";225;1;330;0;1
71;"#DIRTY BLOND - INVISIBLE CLIP EXTENSIONS - DUNKELBLOND GOLD ♡ › 225g";225;1;330;0;1
72;"#TAUPE - INVISIBLE CLIP EXTENSIONS › 225g";225;1;330;0;1
73;"#FAWN - INVISIBLE CLIP EXTENSIONS - HELLBRAUN ♡ › 100g";200;2;286;2;0
74;"#TAUPE STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";200;8;566;2;6
75;"#RAW - INVISIBLE CLIP EXTENSIONS  - SCHWARZBRAUN ♡ › 100g";200;2;318;1;1
76;"TRESSEN #RAW SCHWARZBRAUN RU GLATT CLASSIC WEFT ♡";200;4;580;0;4
77;"#COOL TONED - INVISIBLE CLIP EXTENSIONS - BALAYAGE MITTELASCHBRAUN ♡ › 100g";200;2;318;0;2
78;"#BUTTERSCOTCH STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";200;8;580;0;8
79;"#AUTUMN STANDARD RUSSISCHE TAPE EXTENSIONS GLATT";175;7;508;0;7
80;"#CARAMEL FUDGE MINI TAPE EXTENSIONS INVISIBLE RU GLATT";150;3;585;1;2
81;"TRESSEN #BITTER CACAO DUNKELBRAUN RU GLATT CLASSIC WEFT ♡";150;3;406;2;1
82;"INVISIBLE TRESSEN #PEARL WHITE RU GLATT ♡";150;3;566;1;2
83;"#SUN-KISSED GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";150;3;546;2;1
84;"#SNOWY  MINI TAPE EXTENSIONS RU GLATT ♡";150;3;435;1;2
85;"#CAPPUCCINO MINI TAPE EXTENSIONS INVISIBLE RU GLATT";150;3;585;0;3
86;"#SUN-KISSED MINI TAPE EXTENSIONS BALAYAGE RU GLATT ♡";150;3;435;0;3
87;"#GLOW - INVISIBLE CLIP EXTENSIONS - HELLBRAUN GOLD ♡ › 150g";150;1;203;1;0
88;"#MOCHA MELT RUSSISCHE BONDINGS GLATT 1G";150;6;413;6;0
89;"#BITTER CACAO - INVISIBLE CLIP EXTENSIONS- DUNKELBRAUN ♡ › 150g";150;1;203;1;0
90;"#DUBAI - INVISIBLE CLIP EXTENSIONS ♡ › 150g";150;1;225;1;0
91;"TRESSEN #CHAMPAGNE HELLBLOND GOLD RU GLATT CLASSIC WEFT ♡";150;3;435;3;0
92;"TRESSEN #CARAMEL FUDGE BALAYAGE MITTELBRAUN RU GLATT CLASSIC WEFT ♡";150;3;435;0;3
93;"#MACADAMIA GLOW - INVISIBLE CLIP EXTENSIONS ♡ › 150g";150;1;225;0;1
94;"#HONEY - INVISIBLE CLIP EXTENSIONS - HONIGBLOND ♡ › 150g";150;1;225;0;1
95;"INVISIBLE TRESSEN #RAW RU GLATT";150;3;585;0;3
96;"#BEACH BLOND - INVISIBLE CLIP EXTENSIONS - LIGHTBLOND GOLD ♡ › 150g";150;1;225;0;1
97;"#TOFFEE - INVISIBLE CLIP EXTENSIONS ♡ › 150g";150;1;225;0;1
98;"#MOCHA MELT - INVISIBLE CLIP EXTENSIONS - GESTRÄHNTES DUNKELBRAUN UND SANDIGES HELLBLOND ♡ › 150g";150;1;225;0;1
99;"#RAW MINI TAPE EXTENSIONS INVISIBLE RU GLATT";150;3;585;0;3
100;"#DESERT - INVISIBLE CLIP EXTENSIONS - OMBRES HELLBRAUN UND HELLBLOND GOLD ♡ › 150g";150;1;225;0;1
101;"INVISIBLE TRESSEN #SHINY RU GLATT";150;3;585;0;3
102;"#CAPPUCCINO RUSSISCHE BONDINGS GLATT 1G";125;5;348;4;1
103;"#TAUPE RUSSISCHE BONDINGS GLATT 1G";125;5;348;3;2
104;"#SNOWY RUSSISCHE BONDINGS GLATT 1G";125;5;363;0;5
105;"#BITTER CACAO RUSSISCHE BONDINGS GLATT 1G";125;5;363;0;5
106;"#BITTER CACAO - INVISIBLE CLIP EXTENSIONS- DUNKELBRAUN ♡ › 100g";100;1;159;1;0
107;"#FROSTY GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;371;1;1
108;"TRESSEN #CAPPUCCINO DUNKELBLOND ASCH RU GLATT CLASSIC WEFT ♡";100;2;261;2;0
109;"TRESSEN #DIRTY BLOND DUNKELBLOND GOLD RU GLATT CLASSIC WEFT ♡";100;2;261;2;0
110;"#TOFFEE GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;351;2;0
111;"TRESSEN #FAWN HELLBRAUN RU GLATT CLASSIC WEFT ♡";100;2;261;2;0
112;"INVISIBLE TRESSEN #MOCHA MELT RU GLATT";100;2;351;2;0
113;"#DESERT STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";100;4;276;3;1
114;"#PLATIN - INVISIBLE CLIP EXTENSIONS - LIGHTBLOND ♡ › 100g";100;1;143;1;0
115;"#FROSTY - INVISIBLE CLIP EXTENSIONS - GESTRÄHNTES MITTELBRAUN PEARL UND LICHTBLOND ASCH ♡ › 100g";100;1;143;1;0
116;"#EBONY - INVISIBLE CLIP EXTENSIONS - TIEFSCHWARZ ♡ › 100g";100;1;159;1;0
117;"#PLATIN MINI TAPE EXTENSIONS INVISIBLE RU GLATT";100;2;390;2;0
118;"#VANILLA MOCHA GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;390;0;2
119;"INVISIBLE TRESSEN #FAWN RU GLATT";100;2;390;0;2
120;"INVISIBLE TRESSEN #BITTER CACAO RU GLATT";100;2;390;0;2
121;"#BEACH BLOND MINI TAPE EXTENSIONS RU GLATT ♡";100;2;290;0;2
122;"#SUN-KISSED RUSSISCHE BONDINGS GLATT 1G";100;4;290;0;4
123;"#HONEY GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";100;2;390;0;2
124;"#SMOKY BROWN - INVISIBLE CLIP EXTENSIONS ♡ › 100g";100;1;159;0;1
125;"#FAWN RUSSISCHE BONDINGS GLATT 1G";75;3;203;2;1
126;"#MACADAMIA GLOW RUSSISCHE BONDINGS GLATT 1G";75;3;218;0;3
127;"#RAW GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;1;0
128;"#NORVEGIAN GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
129;"#COLDNESS GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
130;"#CHAMPAGNE MINI TAPE EXTENSIONS RU GLATT ♡";50;1;131;1;0
131;"INVISIBLE TRESSEN #DUBAI RU GLATT";50;1;176;1;0
132;"#FAWN GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
133;"#DIRTY BLOND GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;176;1;0
134;"INVISIBLE TRESSEN #COLDNESS RU GLATT";50;1;195;1;0
135;"#BERRY VELVET STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";50;2;145;2;0
136;"INVISIBLE TRESSEN #DESERT RU GLATT";50;1;195;1;0
137;"#SHINY GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;1;0
138;"#ASH MELT GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;1;0
139;"INVISIBLE TRESSEN #BUTTERSCOTCH RU GLATT";50;1;195;0;1
140;"TRESSEN #TAUPE MITTELBLOND ASCH RU GLATT CLASSIC WEFT ♡";50;1;145;0;1
141;"INVISIBLE TRESSEN #FROSTY RU GLATT";50;1;195;0;1
142;"#TOFFEE RUSSISCHE BONDINGS GLATT 1G";50;2;145;0;2
143;"#RAW MINI TAPE EXTENSIONS RU GLATT - SCHWARZBRAUN ♡";50;1;145;0;1
144;"#DUBAI GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";50;1;195;0;1
145;"#COLDNESS RUSSISCHE BONDINGS GLATT 1G";50;2;145;0;2
146;"INVISIBLE TRESSEN #EBONY RU GLATT";50;1;195;0;1
147;"INVISIBLE TRESSEN #AUTUMN RU GLATT";50;1;195;0;1
